AssetID,AssetCode,Category,AssetType,Manufacturer,Model,InstallDate,Location,OperatingConditions,FailureModes,MaintenanceStrategy,LastMaintenance,MTBF_hours,Availability_pct,Latitude,Longitude
K8G,HX-013,Heat Exchangers,Air Cooled Heat Exchanger,Trantech,2-fan Unit Cooler,5/10/1995,Station B (OK),"Gas intercooler, 200°F to 150°F between stages, 600 psi",Tube leak; Vibration,Preventive (cleaning every 2yr),5/8/2021,"49,417",98.5,34.23576228,-98.10382002
01W,HX-014,Heat Exchangers,Air Cooled Heat Exchanger,Trantech,2-fan Unit Cooler,5/10/1995,Station B (OK),"Gas intercooler, 200°F to 150°F between stages, 600 psi",Tube leak; Vibration,Preventive (cleaning every 2yr),8/28/2023,"73,506",98.3,33.01769445,-101.8341403
N75,SEP-005,Separators & Filters,Filter Separator,Pallen Systems,"Horizontal Filter Sep 36""""",7/7/2015,Station B (OK),"Gas filter-coalescer, removes aerosols, 800 psi",Slug carryover; Erosion,Preventive (annual cleaning),1/22/2020,"99,818",99.5,32.36526491,-102.5856872
8IK,SEP-006,Separators & Filters,Filter Separator,Pallen Systems,"Horizontal Filter Sep 36""""",7/7/2015,Station B (OK),"Gas filter-coalescer, removes aerosols, 800 psi",Slug carryover; Erosion,Preventive (annual cleaning),1/28/2021,"80,520",99.1,30.41961078,-101.354658
XTQ,SEP-011,Separators & Filters,Slug Catcher (Vessel),Exterion,"""60"""" ID bulk separator""",9/9/1995,Station B (OK),"Slug catcher vessel, 750 psi, pipeline pig receiver",Slug carryover; Erosion,Condition-based (pressure drop monitoring),12/12/2019,"91,380",99.4,34.54791877,-103.3008947
E7O,SEP-012,Separators & Filters,Slug Catcher (Vessel),Exterion,"""60"""" ID bulk separator""",9/9/1995,Station B (OK),"Slug catcher vessel, 750 psi, pipeline pig receiver",Slug carryover; Erosion,Condition-based (pressure drop monitoring),11/6/2020,"59,801",97.8,31.8869337,-102.2626517
SEU,MTR-006,Flow Meters,Ultrasonic Flow Meter (Gas),Emerton (Daniels),Daniels Ultrasonic 3410,10/9/2015,Station B (OK),"Natural gas, 42-inch, 1100 psi, ~1 BCFD",Electronics failure; Fouling,Run-to-failure with spares,5/12/2019,"34,065",99.6,32.68703696,-100.3597994
RPB,TANK-001,Storage Tanks,Floating Roof Tank,CBX Industries,API 650 IFR - 120k bbl,8/15/2005,Tank Farm A (OK),"Crude oil storage, atmospheric pressure, 85°F average",Corrosion; Leak,Periodic inspection (API 653 10yr),3/7/2020,"151,188",99.5,34.54063985,-103.0953024
F84,TANK-002,Storage Tanks,Floating Roof Tank,CBX Industries,API 650 IFR - 120k bbl,8/15/2005,Tank Farm A (OK),"Crude oil storage, atmospheric pressure, 85°F average",Floating roof seal damage,Periodic inspection (API 653 10yr),1/20/2018,"118,544",99.1,34.89499223,-99.88892904
XV6,TANK-003,Storage Tanks,Floating Roof Tank,CBX Industries,API 650 - 200k bbl,5/20/1990,Tank Farm A (OK),"Crude oil storage, atmospheric, 80°F average (large tank)",Corrosion; Leak,Risk-based inspection (5yr intervals),5/16/2018,"173,448",98.9,33.13529644,-98.30781963
N2J,TANK-004,Storage Tanks,Floating Roof Tank,CBX Industries,API 650 - 200k bbl,5/20/1990,Tank Farm A (OK),"Crude oil storage, atmospheric, 80°F average (large tank)",Corrosion; Leak,Risk-based inspection (5yr intervals),12/25/2020,"151,800",98.7,30.22404358,-97.24041689
SJC,TANK-011,Storage Tanks,Floating Roof Tank,CBX Industries,External FR - 150k bbl,4/17/1998,Tank Farm B (LA),"Crude oil storage, atmospheric, hot climate (~90°F avg)",Floating roof seal damage,Risk-based inspection (5yr intervals),11/11/2020,"225,243",98.6,33.6031965,-101.5774717
7I3,TANK-012,Storage Tanks,Floating Roof Tank,CBX Industries,External FR - 150k bbl,4/17/1998,Tank Farm B (LA),"Crude oil storage, atmospheric, hot climate (~90°F avg)",Floating roof seal damage,Risk-based inspection (5yr intervals),7/26/2023,"223,916",98.6,32.83431793,-102.2074374
Y25,TANK-013,Storage Tanks,Dome Roof Tank,CBX Industries,API 650 Dome - 100k bbl,9/9/2010,Tank Farm B (LA),"Condensate storage, light hydrocarbon, atmospheric",Nozzle crack; Corrosion,Periodic inspection (API 653 10yr),5/20/2022,"194,857",98.9,34.02098824,-103.9105992
H5E,TANK-014,Storage Tanks,Dome Roof Tank,CBX Industries,API 650 Dome - 100k bbl,9/9/2010,Tank Farm B (LA),"Condensate storage, light hydrocarbon, atmospheric",Corrosion; Leak,Periodic inspection (API 653 10yr),8/10/2020,"190,423",99.2,30.39427271,-101.5365955
3QQ,TANK-015,Storage Tanks,Floating Roof Tank,CBX Industries,Internal FR - 80k bbl,6/24/2016,Terminal C (LA),"Gasoline storage, internal floating roof, 1 psi vapor space",Floating roof seal damage,Periodic inspection (API 653 10yr),5/1/2021,"122,685",98.7,32.49170201,-97.59971733
108,TANK-016,Storage Tanks,Floating Roof Tank,CBX Industries,Internal FR - 80k bbl,6/24/2016,Terminal C (LA),"Gasoline storage, internal floating roof, 1 psi vapor space",Corrosion; Leak,Periodic inspection (API 653 10yr),10/15/2020,"162,948",99.4,33.90273572,-97.04680203
5OD,TANK-019,Storage Tanks,Floating Roof Tank,CBX Industries,External FR - 120k bbl,12/12/1994,Tank Farm A (OK),"Crude oil storage, atmospheric, 80°F avg (legacy tank)",Corrosion; Leak,Risk-based inspection (5yr intervals),12/10/2019,"240,226",98.8,31.30658516,-99.582502
WAU,TANK-020,Storage Tanks,Floating Roof Tank,CBX Industries,External FR - 120k bbl,12/12/1994,Tank Farm A (OK),"Crude oil storage, atmospheric, 80°F avg (legacy tank)",Floating roof seal damage,Risk-based inspection (5yr intervals),6/15/2018,"275,460",98.2,33.21961375,-102.3582656
WST,TANK-006,Storage Tanks,Cone Roof Tank,Matrics Services,API 650 - 50k bbl,3/30/2012,Terminal A (OK),"Gasoline storage, fixed roof w/ vent, ambient 70-95°F",Nozzle crack; Corrosion,Risk-based inspection (5yr intervals),11/4/2019,"182,861",98.4,33.01894117,-101.8575289
FWW,VAL-005,Valves,Gate Valve (Manual),FlowTech,"""18"""" API 6D Gate Valve""",3/3/1990,Station A (TX),"Natural gas, station isolation, manual operation",Seal failure; Stuck closed,Run-to-failure (non-critical),5/17/2023,"70,615",98.4,32.72098961,-99.21281973
TGB,VAL-010,Valves,Pressure Relief Valve,Emerton (AGCO),"""4"""" PSV set 1440 psi""",2/2/2018,Station D (LA) (Gas),"Gas compressor discharge PSV, lifts at 1440 psi",Seat wear; Stem leak,Periodic testing (annual),10/27/2021,"79,079",98.4,31.32617323,-98.22260385
5C4,HX-005,Heat Exchangers,Air Cooled Heat Exchanger,AeroXchange,8-fan Fin-Fan Cooler,8/1/2018,Station D (LA),"Gas aftercooler, 8-fan bank, drops 130°F to 105°F",Tube rupture; Fouling,Preventive (cleaning every 2yr),9/23/2020,"29,387",98.4,31.16525953,-98.6339136
N6K,HX-010,Heat Exchangers,Air Cooled Heat Exchanger,Alfalux,AL Air 4xR,7/7/2012,Pump Station 2 (OK),"Lube oil cooler, 180°F to 130°F, 50 psi oil circuit",Tube leak; Vibration,Preventive (cleaning every 2yr),5/5/2020,"20,386",98.4,32.09593593,-99.31284175
NH6,SEP-009,Separators & Filters,Vertical Scrubber,Camerton,"""30""""×10' KO Drum""",2/2/2000,Station C (IL),"Compressor suction scrubber, 1200 psi, removes liquids",Internal corrosion; Erosion,Preventive (annual cleaning),4/3/2023,"86,839",98.4,32.71875725,-100.5322617
MNH,MTR-003,Flow Meters,Orifice Flow Meter (Gas),Emerton (Daniels),"""Orifice 16"""" Meter Run""",7/3/2008,Station E (CO),"Natural gas, 16-inch, 750 psi, ~20 MMSCFD",Impulse line clog; Sensor drift,Preventive (annual calibration),12/18/2020,"23,566",98.4,30.33432245,-98.53392248
EPN,MTR-011,Flow Meters,Turbine Flow Meter (Liquid),Camerton,NuFlow 8,2/18/2000,Terminal A (OK),"Crude oil, 8-inch, 600 psi, 50k bbl/day",Electronics failure; Fouling,Preventive (annual calibration),2/18/2020,"58,903",98.4,31.96299868,-103.9900151
C9M,MTR-016,Flow Meters,Coriolis Flow Meter (Liquid),Emerton (MicroMotion),CMF300X,8/10/2015,Terminal A (OK),"Refined products, 6-inch, 300 psi, 20k bbl/day",Electronics failure; Fouling,Preventive (annual calibration),11/26/2018,"32,898",98.4,30.53571084,-99.15586135
DGZ,COMP-001,Gas Compressors,Reciprocating Compressor,Aerion Industries,JGX-4 (4-cyl),3/22/2008,Station A (TX),"Natural gas, 3-stage, discharge ~800 psi @ 120°F",Valve failure; Packing wear,Preventive (quarterly) + Condition Monitoring,6/18/2023,"14,504",96.6,30.34198416,-98.34402729
4H3,COMP-002,Gas Compressors,Reciprocating Compressor,Aerion Industries,JGX-4 (4-cyl),3/22/2008,Station A (TX),"Natural gas, 3-stage, discharge ~800 psi @ 120°F",Valve failure; Packing wear,Condition-based PdM; Quarterly inspection,2/5/2018,"11,070",97.3,32.21333152,-98.34700793
WNL,COMP-003,Gas Compressors,Reciprocating Compressor,Aerion Industries,KBX-6 (6-cyl),7/16/2012,Station A (TX),"Natural gas, 2-stage, discharge ~800 psi @ 110°F",Valve failure; Packing wear,Preventive (quarterly) + Condition Monitoring,7/22/2022,"12,309",96.8,34.65193092,-103.8366136
LIA,COMP-004,Gas Compressors,Reciprocating Compressor,Aerion Industries,KBX-6 (6-cyl),7/16/2012,Station A (TX),"Natural gas, 2-stage, discharge ~800 psi @ 110°F",Valve failure; Packing wear,Condition-based PdM; Quarterly inspection,12/17/2022,"18,632",99.1,31.20991487,-97.39165407
2PQ,COMP-009,Gas Compressors,Reciprocating Compressor,Dressler-Rhodes,D-RX 590 (4 throw),9/30/2010,Station C (IL),"Natural gas, 3-stage, discharge ~1200 psi @ 140°F",Valve failure; Piston ring wear,Preventive (quarterly) + Condition Monitoring,7/25/2019,"19,816",96.3,33.74121313,-103.9925879
K25,COMP-010,Gas Compressors,Reciprocating Compressor,Dressler-Rhodes,D-RX 590 (4 throw),9/30/2010,Station C (IL),"Natural gas, 3-stage, discharge ~1200 psi @ 140°F",Valve failure; Piston ring wear,Condition-based PdM; Quarterly inspection,7/12/2021,"7,801",96.7,31.51025031,-103.7686747
DOX,COMP-011,Gas Compressors,Centrifugal Compressor,Stellar Turbines,C33-1200X (3-stage),6/12/2015,Station C (IL),"Natural gas, centrifugal, 1200 psi discharge, aftercooled to 120°F",Seal oil leak; Bearing failure,Preventive (quarterly) + Condition Monitoring,8/6/2023,"19,415",98.9,30.0252338,-100.840055
I6N,COMP-012,Gas Compressors,Centrifugal Compressor,Stellar Turbines,C33-1200X (3-stage),6/12/2015,Station C (IL),"Natural gas, centrifugal, 1200 psi discharge, aftercooled to 120°F",Valve failure; Piston ring wear,Preventive (quarterly) + Condition Monitoring,7/15/2020,"12,373",97.3,34.31609552,-100.0420892
05K,COMP-013,Gas Compressors,Centrifugal Compressor,Stellar Turbines,Tauros 70-3,8/1/2018,Station D (LA),"Natural gas, single-stage, 900 psi boost, 100°-130°F range",Valve failure; Piston ring wear,Condition-based PdM; Quarterly inspection,8/13/2022,"19,096",97.6,32.00503224,-101.9984643
5AW,COMP-014,Gas Compressors,Centrifugal Compressor,Stellar Turbines,Tauros 70-3,8/1/2018,Station D (LA),"Natural gas, single-stage, 900 psi boost, 100°-130°F range",Valve failure; Piston ring wear,Preventive (quarterly) + Condition Monitoring,9/18/2021,"19,761",96.9,31.49669143,-98.42285732
3C0,COMP-015,Gas Compressors,Centrifugal Compressor,Stellar Turbines,Marson 100-2,3/19/2020,Station D (LA),"Natural gas, 2-stage, 1100°°1500 psi, ~140°F outlet",Seal oil leak; Bearing failure,Condition-based PdM; Quarterly inspection,12/22/2021,"5,691",95.6,31.38751421,-102.934228
FY1,COMP-016,Gas Compressors,Centrifugal Compressor,Simmons Energy,STC-AX65,7/8/2011,Station E (CO),"Natural gas, 2-stage, discharge ~1000 psi @ 115°F",Valve failure; Piston ring wear,Preventive (quarterly) + Condition Monitoring,1/15/2018,"9,516",97.3,34.54037897,-99.45727009
CP8,COMP-017,Gas Compressors,Centrifugal Compressor,Simmons Energy,STC-AX65,7/8/2011,Station E (CO),"Natural gas, 2-stage, discharge ~1000 psi @ 115°F",Seal oil leak; Bearing failure,Preventive (quarterly) + Condition Monitoring,12/10/2023,"19,157",98.7,31.56643552,-102.1836032
U0X,COMP-018,Gas Compressors,Centrifugal Compressor,Simmons (D-R),Datum 3700X,11/11/2016,Station E (CO),"Natural gas, 3-stage, discharge ~1200 psi, 130°F outlet",Valve failure; Piston ring wear,Condition-based PdM; Quarterly inspection,1/5/2019,"14,456",96.1,31.14916464,-103.7815612
160,COMP-019,Gas Compressors,Centrifugal Compressor,Simmons (D-R),Datum 3700X,11/11/2016,Station E (CO),"Natural gas, 3-stage, discharge ~1200 psi, 130°F outlet",Valve failure; Packing wear,Preventive (quarterly) + Condition Monitoring,6/27/2023,"19,349",99.3,33.79670962,-98.06390146
UXN,COMP-022,Gas Compressors,Centrifugal Compressor,Ingerton Rhodes,EB-45X (API 617),9/17/2013,Station C (IL),"Natural gas, 1500 psi discharge, ~150°F outlet",Valve failure; Packing wear,Preventive (quarterly) + Condition Monitoring,2/9/2020,"18,498",99.5,34.94701655,-100.3474232
GJE,COMP-023,Gas Compressors,Centrifugal Compressor,Ingerton Rhodes,EB-45X (API 617),9/17/2013,Station C (IL),"Natural gas, 1500 psi discharge, ~150°F outlet",Seal oil leak; Bearing failure,Condition-based PdM; Quarterly inspection,12/27/2022,"18,063",96.3,33.39388693,-98.53948197
100,COMP-024,Gas Compressors,Centrifugal Compressor,GEX Oil & Gas,PCL-800X,3/3/2017,Station D (LA),"Natural gas, 2-stage, 1200 psi discharge, 125°F outlet",Valve failure; Piston ring wear,Condition-based PdM; Quarterly inspection,7/11/2022,"10,591",98.8,31.65699641,-99.41936502
7TL,COMP-025,Gas Compressors,Centrifugal Compressor,GEX Oil & Gas,PCL-800X,3/3/2017,Station D (LA),"Natural gas, 2-stage, 1200 psi discharge, 125°F outlet",Seal oil leak; Bearing failure,Preventive (quarterly) + Condition Monitoring,6/14/2023,"11,365",99.3,32.01879356,-103.8978168
1IM,COMP-026,Gas Compressors,Centrifugal Compressor,GEX Oil & Gas,PCL-1000X,7/27/2021,Station F (PA),"Natural gas, 3-stage, 1400 psi discharge, 135°F outlet",Valve failure; Piston ring wear,Preventive (quarterly) + Condition Monitoring,11/10/2023,"7,382",98.6,33.80304473,-103.5499981
FIF,COMP-027,Gas Compressors,Centrifugal Compressor,GEX Oil & Gas,PCL-1000X,7/27/2021,Station F (PA),"Natural gas, 3-stage, 1400 psi discharge, 135°F outlet",Valve failure; Piston ring wear,Condition-based PdM; Quarterly inspection,12/21/2021,"8,252",98.0,31.34415176,-100.8943715
XSK,COMP-028,Gas Compressors,Centrifugal Compressor,Dressler-Rhodes (Simmons),Datum 2000X,2/14/2003,Station A (TX),"Natural gas, single-stage booster, 600 psi, ~90°F outlet",Seal oil leak; Bearing failure,Preventive (quarterly) + Condition Monitoring,6/28/2020,"13,093",95.0,34.72443111,-97.25189931
Y4L,COMP-029,Gas Compressors,Centrifugal Compressor,Dressler-Rhodes (Simmons),Datum 2000X,2/14/2003,Station A (TX),"Natural gas, single-stage booster, 600 psi, ~90°F outlet",Valve failure; Packing wear,Preventive (quarterly) + Condition Monitoring,3/7/2023,"12,742",99.1,34.44070372,-103.6604147
ZBH,PUMP-013,Pumps,Vertical Turbine Pump,FlowTech,VPC-250X (double-case),10/10/2015,Terminal A (OK),"Crude oil, vertical lift from tank, 200 psi, ambient",Impeller damage; Seal leak,Condition-based (vibration monitoring),6/23/2021,"11,991",98.8,30.8952302,-98.98678783
LG5,PUMP-014,Pumps,Vertical Turbine Pump,FlowTech,VPC-250X (double-case),10/10/2015,Terminal A (OK),"Crude oil, vertical lift from tank, 200 psi, ambient",Seal leak; Bearing wear,Preventive (annual overhaul),4/8/2020,"12,357",99.5,32.29246832,-98.79282148
GJE,TANK-005,Storage Tanks,Cone Roof Tank,Matrics Services,API 650 - 50k bbl,3/30/2012,Terminal A (OK),"Gasoline storage, fixed roof w/ vent, ambient 70-95°F",Corrosion; Leak,Risk-based inspection (5yr intervals),1/15/2021,"165,558",99.3,30.8846152,-99.68754635
AFJ,TANK-007,Storage Tanks,Cone Roof Tank,Matrics Services,API 650 - 80k bbl,11/5/2018,Terminal B (IL),"Diesel storage, fixed roof, atmospheric, 60-85°F",Corrosion; Leak,Periodic inspection (API 653 10yr),8/12/2023,"101,647",98.5,31.93591182,-98.97519421
708,TANK-008,Storage Tanks,Cone Roof Tank,Matrics Services,API 650 - 80k bbl,11/5/2018,Terminal B (IL),"Diesel storage, fixed roof, atmospheric, 60-85°F",Floating roof seal damage,Periodic inspection (API 653 10yr),3/17/2023,"143,549",99.6,33.92553219,-103.8209397
PUE,TANK-009,Storage Tanks,Cone Roof Tank,Matrics Services,API 650 - 30k bbl,7/12/2000,Terminal B (IL),"Jet fuel storage, fixed roof, N2 blanketed, ambient temp",Nozzle crack; Corrosion,Periodic inspection (API 653 10yr),6/5/2019,"136,752",99.1,33.57856938,-102.1859022
7E0,TANK-010,Storage Tanks,Cone Roof Tank,Matrics Services,API 650 - 30k bbl,7/12/2000,Terminal B (IL),"Jet fuel storage, fixed roof, N2 blanketed, ambient temp",Corrosion; Leak,Risk-based inspection (5yr intervals),9/5/2020,"130,194",98.2,31.81930676,-101.7689065
DT0,TANK-017,Storage Tanks,Cone Roof Tank,Matrics Services,API 650 - 10k bbl,1/6/2003,Station D (LA),"Produced water tank, fixed roof, atmospheric, 70-100°F",Nozzle crack; Corrosion,Periodic inspection (API 653 10yr),7/16/2019,"151,020",99.8,33.93156176,-98.29272879
CDP,TANK-018,Storage Tanks,Cone Roof Tank,Matrics Services,API 650 - 10k bbl,1/6/2003,Station D (LA),"Produced water tank, fixed roof, atmospheric, 70-100°F",Corrosion; Leak,Periodic inspection (API 653 10yr),10/3/2021,"256,874",99.0,30.82674044,-102.0413719
FL7,VAL-003,Valves,Motor Operated Ball Valve,Camerton,"""30"""" Class 600 Ball Valve""",8/20/2015,Mainline Valve (TX),"Crude oil pipeline block valve, automated operator",Seat wear; Stem leak,Periodic testing (annual),7/13/2020,"99,079",98.3,33.05851103,-101.1453584
GFH,VAL-004,Valves,Motor Operated Ball Valve,Camerton,"""30"""" Class 600 Ball Valve""",8/20/2015,Mainline Valve (TX),"Crude oil pipeline block valve, automated operator",Seat wear; Stem leak,Periodic testing (annual),4/17/2019,"74,829",99.8,34.83509848,-100.5573114
K5W,VAL-006,Valves,Gate Valve (Manual),FlowTech,"""18"""" API 6D Gate Valve""",3/3/1990,Station A (TX),"Natural gas, station isolation, manual operation",Seal failure; Stuck closed,Run-to-failure (non-critical),7/10/2018,"38,036",99.6,30.96974888,-99.38796212
FPU,VAL-007,Valves,Control Valve (Globe),Emerton (Fischer),"""6"""" EBV Control Valve""",10/10/2010,Terminal B (IL),"Diesel flow control, 150 psi, modulating",Seat wear; Stem leak,Periodic testing (annual),1/13/2023,"85,126",98.9,31.49118729,-103.9930393
P8H,VAL-008,Valves,Control Valve (Globe),Emerton (Fischer),"""6"""" EBV Control Valve""",10/10/2010,Terminal B (IL),"Diesel flow control, 150 psi, modulating",Actuator failure; Seat leak,Periodic testing (annual),9/15/2022,"87,482",99.0,34.4572537,-98.20370845
BKS,VAL-009,Valves,Pressure Relief Valve,Emerton (AGCO),"""4"""" PSV set 1440 psi""",2/2/2018,Station D (LA) (Gas),"Gas compressor discharge PSV, lifts at 1440 psi",Actuator failure; Seat leak,Periodic testing (annual),4/2/2022,"37,939",98.9,34.39689999,-101.5964003
64W,VAL-011,Valves,Pressure Relief Valve,BHX (Consolidated),"""2"""" PSV set 250 psi""",7/7/2007,Tank Farm A (OK),"Tank vapor relief, opens at 250 psig",Seal failure; Stuck closed,Periodic testing (annual),10/6/2019,"73,891",98.2,31.351886,-98.05998859
J5Q,VAL-012,Valves,Pressure Relief Valve,BHX (Consolidated),"""2"""" PSV set 250 psi""",7/7/2007,Tank Farm A (OK),"Tank vapor relief, opens at 250 psig",Seat wear; Stem leak,Periodic testing (annual),6/22/2021,"52,668",99.6,30.20585023,-102.5954011
UNX,VAL-013,Valves,Motor Operated Ball Valve,Camerton,"""16"""" Class 300 Ball Valve""",9/9/2003,Pipeline Junction (KS),"Natural gas line block, remote close capability",Seat wear; Stem leak,Run-to-failure (non-critical),9/20/2021,"99,083",97.5,30.02363486,-97.31555431
V59,VAL-014,Valves,Motor Operated Ball Valve,Camerton,"""16"""" Class 300 Ball Valve""",9/9/2003,Pipeline Junction (KS),"Natural gas line block, remote close capability",Seat wear; Stem leak,Periodic testing (annual),10/14/2018,"35,463",98.6,33.37876944,-97.49020535
M02,VAL-015,Valves,Gate Valve (Manual),FlowTech,"""12"""" API 600 Gate Valve""",1/15/1998,Terminal C (LA),"Crude line manual isolation, ambient pressure",Seal failure; Stuck closed,Run-to-failure (non-critical),8/2/2021,"21,280",99.9,32.07207897,-100.9790679
G9Y,VAL-016,Valves,Gate Valve (Manual),FlowTech,"""12"""" API 600 Gate Valve""",1/15/1998,Terminal C (LA),"Crude line manual isolation, ambient pressure",Seat wear; Stem leak,Run-to-failure (non-critical),2/7/2018,"31,889",97.2,33.32282147,-97.04969588
38I,VAL-017,Valves,Control Valve (Butterfly),Emerton (Fischer),"""8"""" Butterfly Control""",6/6/2016,Station E (CO) (Air),"Air cooler fan flow control, 50 psi air system",Actuator failure; Seat leak,Periodic testing (annual),1/19/2020,"29,836",99.0,32.27813936,-102.6022923
H5A,VAL-018,Valves,Control Valve (Butterfly),Emerton (Fischer),"""8"""" Butterfly Control""",6/6/2016,Station E (CO) (Air),"Air cooler fan flow control, 50 psi air system",Actuator failure; Seat leak,Periodic testing (annual),9/8/2019,"47,962",98.2,32.21698158,-97.34344873
PJD,VAL-019,Valves,Pressure Relief Valve,BHX (Consolidated),"""6"""" PSV set 1440 psi""",4/4/2014,Mainline Valve (IL),"Pipeline surge relief, pops at 1440 psi",Seat wear; Stem leak,Periodic testing (annual),11/21/2023,"25,729",97.0,32.95773885,-98.24745965
SL0,VAL-020,Valves,Pressure Relief Valve,BHX (Consolidated),"""6"""" PSV set 1440 psi""",4/4/2014,Mainline Valve (IL),"Pipeline surge relief, pops at 1440 psi",Seat wear; Stem leak,Periodic testing (annual),8/11/2021,"36,768",98.0,33.83534222,-99.06287697
2ZK,HX-001,Heat Exchangers,Air Cooled Heat Exchanger,AeroXchange,6-fan Fin-Fan Cooler,6/12/2015,Station C (IL),Cools gas from 140°F to 110°F @ 1200 psi (aftercompressor),Tube rupture; Fouling,Preventive (cleaning every 2yr),3/24/2023,"63,981",98.8,30.72031529,-102.3836685
ROM,HX-002,Heat Exchangers,Air Cooled Heat Exchanger,AeroXchange,6-fan Fin-Fan Cooler,6/12/2015,Station C (IL),Cools gas from 140°F to 110°F @ 1200 psi (aftercompressor),Fin corrosion; Fan motor failure,Preventive (cleaning every 2yr),5/1/2018,"73,940",97.0,34.38408207,-99.84733996
LDZ,HX-003,Heat Exchangers,Air Cooled Heat Exchanger,AeroXchange,4-fan Fin-Fan Cooler,3/22/2008,Station A (TX),Cools gas from 120°F to 100°F @ 800 psi (aftercompressor),Tube leak; Vibration,Condition-based (temperature monitoring),11/11/2023,"35,470",98.0,34.32533379,-97.62066966
S1T,HX-004,Heat Exchangers,Air Cooled Heat Exchanger,AeroXchange,4-fan Fin-Fan Cooler,3/22/2008,Station A (TX),Cools gas from 120°F to 100°F @ 800 psi (aftercompressor),Tube leak; Vibration,Preventive (cleaning every 2yr),7/11/2019,"31,479",98.8,34.07585064,-102.6483233
LXX,HX-006,Heat Exchangers,Air Cooled Heat Exchanger,AeroXchange,8-fan Fin-Fan Cooler,8/1/2018,Station D (LA),"Gas aftercooler, 8-fan bank, drops 130°F to 105°F",Tube rupture; Fouling,Preventive (cleaning every 2yr),12/2/2022,"43,343",98.8,30.26488408,-99.81600973
